Name,Model,Trim,Student,Military,First_Responder,Bonus,Loyalty,Conquest,Mobility
Toyota,2021 Toyota RAV4,XLE 4dr SUV AWD (2.5L 4cyl 8A),$500 Student/College Grad for Retail or Lease - Expires 03/31/2021,$500 Military for Retail or Lease - Expires 03/31/2021,,,,,
Toyota,2021 Toyota Venza,Limited 4dr SUV AWD (2.5L 4cyl gas/electric hybrid CVT),$500 Student/College Grad for Retail or Lease - Expires 03/31/2021,$500 Military for Retail or Lease - Expires 03/31/2021,,$750 Customer Bonus Cash for Retail or Lease - Expires 03/31/2021,,,
Toyota,2021 Toyota Prius,LE 4dr Hatchback (1.8L 4cyl gas/electric hybrid CVT),$500 Student/College Grad for Retail or Lease - Expires 03/31/2021,$500 Military for Retail or Lease - Expires 03/31/2021,,,,,
Toyota,2021 Toyota Sequoia,SR5 4dr SUV (5.7L 8cyl 6A),$500 Student/College Grad for Retail or Lease - Expires 03/31/2021,$500 Military for Retail or Lease - Expires 03/31/2021,,,,,
Toyota,2021 Toyota Tundra,SR5 4dr CrewMax 4WD SB (5.7L 8cyl 6A),$500 Student/College Grad for Retail or Lease - Expires 03/31/2021,$500 Military for Retail or Lease - Expires 03/31/2021,,,,,
Toyota,2021 Toyota Corolla,LE 4dr Sedan (1.8L 4cyl CVT),$500 Student/College Grad for Retail or Lease - Expires 03/31/2021,$500 Military for Retail or Lease - Expires 03/31/2021,,,,,
Toyota,2021 Toyota Corolla Hatchback,SE 4dr Hatchback (2.0L 4cyl CVT),$500 Student/College Grad for Retail or Lease - Expires 03/31/2021,$500 Military for Retail or Lease - Expires 03/31/2021,,,,,
Toyota,2021 Toyota Corolla Hybrid,LE 4dr Sedan (1.8L 4cyl gas/electric hybrid CVT),$500 Student/College Grad for Retail or Lease - Expires 03/31/2021,$500 Military for Retail or Lease - Expires 03/31/2021,,,,,
Toyota,2021 Toyota C-HR,LE 4dr SUV (2.0L 4cyl CVT),$500 Student/College Grad for Retail or Lease - Expires 03/31/2021,$500 Military for Retail or Lease - Expires 03/31/2021,,,,,
Toyota,2021 Toyota Camry,XSE 4dr Sedan (2.5L 4cyl 8A),$500 Student/College Grad for Retail or Lease - Expires 03/31/2021,$500 Military for Retail or Lease - Expires 03/31/2021,,,,,
